FeedbackID,ProductID,CustomerID,FeedbackScore,FeedbackDate,,,
1,1,1,4.5,5/5/2023,,,
2,2,2,3.8,4/6/2023,,,
3,3,3,4.2,4/7/2023,,,
,4,4,4.7,3/11/2023,,,
5,5,5,4,4/9/2023,,,
6,6,6,4.1,4/10/2023,,,
7,7,7,3.7,4/11/2023,,,
8,8,8,3.2,4/12/2023,,,
,9,9,3.9,4/13/2023,,,
10,10,10,4.5,4/14/2023,,,
11,11,11,4.2,4/16/2023,,,
12,12,12,3.8,4/16/2023,,,
13,13,13,4,4/17/2023,,,
14,14,14,4.4,4/18/2023,,,
15,15,15,4.2,4/19/2023,,,
16,16,16,4.1,4/20/2023,,,
17,17,17,4.3,4/21/2023,,,
18,18,18,3.9,4/22/2023,,,
19,19,19,4.5,4/23/2023,,,
20,20,20,4,4/24/2023,,,
21,21,21,3.8,4/25/2023,,,
22,22,22,4.2,4/26/2023,,,
23,23,23,3.7,4/27/2023,,,
24,24,24,4.3,4/28/2023,,,
25,25,25,4.4,4/29/2023,,,
26,26,26,4,4/30/2023,,,
27,27,27,3.9,5/1/2023,,,
28,28,28,4.1,5/2/2023,,,
29,29,29,3.5,5/3/2023,,,
30,30,30,4.2,5/4/2023,,,
31,31,31,4.4,5/5/2023,,,
32,32,32,3.8,5/6/2023,,,
33,33,33,4,5/7/2023,,,
34,34,34,3.7,5/8/2023,,,
35,35,35,4.2,5/9/2023,,,
36,36,36,3.9,5/10/2023,,,
37,37,37,4.3,5/11/2023,,,
38,38,38,4.1,5/12/2023,,,
39,39,39,3.5,5/13/2023,,,
40,40,40,4.2,5/14/2023,,,
41,41,41,4.4,5/15/2023,,,
42,42,42,3.8,5/16/2023,,,
43,43,43,4,5/17/2023,,,
44,44,44,3.7,5/18/2023,,,
45,45,45,4.2,5/19/2023,,,
46,46,46,3.9,5/20/2023,,,
47,47,47,4.3,5/21/2023,,,
48,48,48,4.1,5/22/2023,,,
49,49,49,3.5,5/23/2023,,,
50,50,50,4.2,5/24/2023,,,
51,51,51,4.4,5/25/2023,,,
52,52,52,3.8,5/26/2023,,,
